User_ID,Age,Gender,Daily_Screen_Time(hrs),Sleep_Quality(1-10),Stress_Level(1-10),Days_Without_Social_Media,Exercise_Frequency(week),Social_Media_Platform,Happiness_Index(1-10),Risk_Score,Risk_Tier
U395,47,Female,5.2,7,7,3,2,Facebook,9,3.56,Moderate
U396,39,Female,6.5,5,7,2,2,Instagram,8,4.47,Moderate
U397,38,Male,5.4,8,9,5,3,X,8,4.0,Moderate
U398,47,Female,3.8,8,4,2,4,LinkedIn,10,1.81,Low
U399,27,Male,3.9,7,5,0,4,YouTube,10,2.48,Low
U400,28,Male,3.7,8,5,4,3,YouTube,10,2.1,Low
U401,38,Female,7.2,5,8,1,2,YouTube,9,4.75,Moderate
U402,40,Male,4.4,7,5,4,0,YouTube,10,2.74,Low
U403,45,Male,2.1,10,5,6,1,Facebook,10,1.49,Low
U404,32,Male,6.2,6,8,4,5,YouTube,7,4.3,Moderate
U405,35,Male,8.2,4,9,5,0,X,6,6.03,Elevated
U406,40,Male,6.9,3,8,7,1,Facebook,6,5.5,Moderate
U407,37,Female,4.4,7,6,5,4,YouTube,10,2.6,Low
U408,28,Male,2.6,10,3,4,3,Instagram,10,0.85,Low
U409,34,Female,5.3,6,6,6,4,X,8,3.31,Low
U410,27,Female,5.2,4,7,7,3,Amazon Prime,9,3.89,Moderate
U411,34,Male,3.8,7,6,7,5,Other,10,2.29,Low
U412,27,Male,6.5,7,7,2,3,Facebook,10,3.53,Moderate
U413,24,Male,8.8,5,9,0,3,YouTube,6,5.89,Moderate
U414,22,Female,5.9,5,6,2,1,LinkedIn,9,3.95,Moderate
U415,43,Male,5.8,6,7,4,3,LinkedIn,9,3.72,Moderate
U416,29,Female,3.8,7,6,3,2,LinkedIn,8,3.22,Low
U417,46,Male,8.0,4,8,3,2,Facebook,9,4.99,Moderate
U418,34,Female,5.4,4,5,4,4,X,10,3.16,Low
U419,31,Male,4.5,8,5,0,4,Instagram,10,2.36,Low
U420,20,Male,5.6,8,8,3,5,Instagram,8,3.62,Moderate
U421,27,Other,6.3,4,9,5,5,Netflix,6,5.22,Moderate
U422,40,Female,5.8,7,8,4,4,YouTube,8,3.92,Moderate
U423,36,Male,7.7,5,8,4,0,LinkedIn,8,5.06,Moderate
U424,38,Female,6.2,7,6,6,5,LinkedIn,10,2.73,Low
U425,31,Female,5.0,7,6,3,4,YouTube,10,2.81,Low
U426,29,Female,6.2,6,9,2,1,YouTube,8,4.94,Moderate
U427,46,Female,6.4,6,8,5,4,X,8,4.18,Moderate
U428,20,Male,3.2,7,5,5,1,X,9,2.59,Low
U429,38,Male,7.6,6,9,4,3,X,8,4.85,Moderate
U430,44,Male,5.0,6,5,3,1,X,10,3.01,Low
U431,26,Female,5.0,6,6,3,1,Netflix,10,3.33,Low
U432,33,Female,6.9,6,7,0,4,Instagram,7,4.42,Moderate
U433,27,Male,6.8,5,8,5,4,Amazon Prime,7,4.66,Moderate
U434,24,Male,4.2,8,7,5,3,X,7,3.37,Low
U435,25,Female,6.9,7,7,0,2,Netflix,9,4.0,Moderate
U436,32,Other,4.5,8,5,5,0,X,10,2.47,Low
U437,22,Female,8.8,2,9,4,2,Facebook,7,6.22,Elevated
U438,28,Male,4.0,7,5,1,3,LinkedIn,9,2.74,Low
U439,24,Male,5.9,7,6,1,2,Instagram,8,3.67,Moderate
U440,42,Male,4.1,6,6,4,2,Facebook,9,3.23,Low
U441,17,Female,9.5,4,9,2,2,YouTube,4,6.61,Elevated
U442,20,Male,3.3,8,4,7,2,Telegram,10,1.65,Low
U443,44,Female,6.4,5,6,5,3,YouTube,6,4.26,Moderate
U444,34,Male,4.2,8,4,4,2,Flipkart,10,1.96,Low
U445,23,Female,4.9,7,7,4,5,LinkedIn,7,3.56,Moderate
U446,16,Female,6.3,6,7,6,0,Facebook,8,4.19,Moderate
U447,37,Female,7.7,4,8,5,2,LinkedIn,8,5.03,Moderate
U448,32,Male,8.4,5,9,4,1,X,7,5.6,Moderate
U449,22,Male,2.7,6,6,1,3,LinkedIn,8,3.27,Low
U450,40,Male,6.0,4,6,9,3,LinkedIn,8,3.9,Moderate
U451,19,Female,8.1,5,9,1,5,X,7,5.32,Moderate
U452,21,Female,2.5,9,3,2,5,Flipkart,10,0.97,Low
U453,46,Female,6.1,6,8,0,1,X,6,5.12,Moderate
U454,34,Female,5.5,6,5,4,3,Facebook,10,2.83,Low
U455,42,Female,6.2,6,6,3,3,LinkedIn,6,4.12,Moderate
U456,25,Male,4.1,6,5,5,1,X,9,2.95,Low
U457,41,Female,2.9,8,3,0,3,LinkedIn,10,1.56,Low
U458,34,Male,2.1,9,4,5,2,Facebook,10,1.35,Low
U459,18,Male,7.3,5,8,1,1,YouTube,7,5.27,Moderate
U460,28,Female,7.5,6,8,3,2,Facebook,6,5.07,Moderate
U461,43,Male,6.0,6,5,5,1,Instagram,9,3.25,Low
U462,35,Male,4.5,7,8,4,4,Instagram,8,3.71,Moderate
U463,43,Female,2.6,9,5,4,5,Instagram,10,1.51,Low
U464,23,Male,6.5,5,10,5,3,LinkedIn,5,5.75,Moderate
U465,16,Female,3.5,8,5,4,3,Flipkart,10,2.07,Low
U466,18,Male,4.2,7,7,2,3,Other,10,3.16,Low
U467,28,Male,4.4,7,7,3,4,Other,8,3.43,Low
U468,43,Male,5.1,6,6,3,4,LinkedIn,9,3.24,Low
U469,40,Male,4.1,6,7,1,2,Facebook,10,3.52,Moderate
U470,48,Female,5.6,6,6,5,3,Other,8,3.51,Moderate
U471,21,Male,4.4,5,6,4,3,YouTube,7,3.8,Moderate
U472,47,Female,6.8,5,4,3,1,Instagram,10,3.2,Low
U473,36,Female,7.4,3,8,5,4,Facebook,5,5.6,Moderate
U474,31,Female,5.7,7,5,3,5,Instagram,10,2.5,Low
U475,36,Female,6.3,7,7,3,4,Snapchat,8,3.74,Moderate
U476,26,Female,9.3,3,8,2,1,Facebook,6,6.17,Elevated
U477,34,Male,3.4,8,5,4,0,X,10,2.36,Low
U478,35,Male,3.3,9,6,4,4,YouTube,10,2.04,Low
U479,33,Male,6.8,6,8,2,1,Other,9,4.51,Moderate
U480,29,Female,9.0,4,10,3,3,Snapchat,4,6.69,Elevated
U481,30,Male,5.0,7,8,2,5,YouTube,7,4.01,Moderate
U482,46,Female,8.6,4,8,2,2,YouTube,4,6.14,Elevated
U483,16,Female,5.7,6,6,0,2,X,8,3.91,Moderate
U484,18,Male,4.3,7,7,3,3,Snapchat,10,3.12,Low
U485,31,Female,3.7,7,7,0,1,LinkedIn,9,3.59,Moderate
U486,38,Male,6.6,6,8,2,1,Other,7,4.88,Moderate
U487,26,Male,3.9,8,5,2,3,Instagram,10,2.25,Low
U488,27,Female,5.6,7,7,5,2,Facebook,8,3.71,Moderate
U489,25,Female,8.4,5,9,1,3,Facebook,7,5.57,Moderate
U490,47,Female,4.9,7,7,1,7,Instagram,10,3.03,Low
U491,31,Male,7.9,5,8,2,3,Facebook,6,5.31,Moderate
U492,23,Male,3.3,10,4,2,1,YouTube,10,1.59,Low
U493,27,Female,4.5,5,7,6,5,Facebook,9,3.42,Low
U494,39,Female,3.0,7,2,1,0,Facebook,10,1.72,Low
U495,43,Female,5.6,8,6,2,0,Instagram,10,3.14,Low
U496,23,Male,6.9,5,7,4,2,X,10,4.02,Moderate
U497,43,Female,5.6,7,6,5,2,Facebook,9,3.19,Low
U498,41,Male,7.7,5,7,2,2,LinkedIn,8,4.66,Moderate
U499,23,Male,4.2,9,7,0,2,Facebook,9,3.13,Low
U500,43,Female,5.9,5,8,3,3,X,7,4.73,Moderate
